"Judgenum","judge","nomination_date","confirmation_date","confirmation_vote","appointed_by","pres_start_date","start_active_date","end_active_date","end_senior_date","court","court_type","months_from_inauguration"
NA,"O'Connor, James Francis Thaddeus",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1940-09-27","1949-09-28",NA,NA,"District",92
NA,"Picard, Frank Albert",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1939-02-23","1959-03-31","1963-02-28",NA,"District",73
NA,"Pine, David Andrew",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1940-03-29","1965-04-02","1970-06-11",NA,"District",86
NA,"Pollard, Robert Nelson",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1936-02-27","1947-04-22","1954-05-24",NA,"District",37
NA,"Porterie, Gaston Louis Noel",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1939-02-09","1953-03-24",NA,NA,"District",73
NA,"Ragon, Heartsill",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1933-05-17","1940-09-15",NA,NA,"District",4
NA,"Rice, Eugene",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1937-08-11","1963-12-01","1967-11-24",NA,"District",55
NA,"Ridge, Albert Alphonso",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1945-04-07","1961-06-29",NA,NA,"District",147
NA,"Rifkind, Simon Hirsch",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1941-06-06","1950-05-24",NA,NA,"District",101
NA,"Rippey, Harlan Watson",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1934-06-18","1936-12-31",NA,NA,"District",17
NA,"Roberts, Floyd H.",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1938-07-06","1939-02-06",NA,NA,"District",66
NA,"Roche, Michael Joseph",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1935-04-24","1958-03-01","1964-07-01",NA,"District",27
NA,"Russell, Robert Lee",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1940-08-15","1949-10-26",NA,NA,"District",91
NA,"Savage, Royce H.",NA,NA,NA,"Franklin D. Roosevelt","1933-01-01","1940-10-01","1961-10-31",NA,NA,"District",93
