"Date_Nominated","Name_of_Nominee","Court_to_Which_Nominated","President","Congress","ABA_Rating"
"1/26/96","Rodriguez-Rodriguez, Anabelle","USDC: District of Puerto Rico","Clinton",104,"Q"
"1/26/99","Berzon, Marsha S. (CA)","Ninth Circuit","Clinton",106,"WQsm/Qmin"
"1/26/99","Davis, Legrome D.","USDC: Eastern District of Pennsylvania","Clinton",106,"Qm/WQmin"
"1/26/99","Durham, Barbara M. (WA)","Ninth Circuit","Clinton",106,"Q"
"1/26/99","Dyk, Timothy Belcher (DC)","Federal Circuit","Clinton",106,"Q"
"1/26/99","Ellison, Keith P.","USDC: Southern District of Texas","Clinton",106,"Qm/NQmin"
"1/26/99","Feess, Gary A.","USDC: Central District of California","Clinton",106,"WQ"
"1/26/99","Goode, Barry P. (CA)","Ninth Circuit","Clinton",106,"Q"
"1/26/99","Gould, Ronald M. (WA)","Ninth Circuit","Clinton",106,"WQm/Qmin"
"1/26/99","Hibbler, William J.","USDC: Northern District of Illinois","Clinton",106,"Q"
"1/26/99","Kennelly, Matthew F.","USDC: Northern District of Illinois","Clinton",106,"WQ"
"1/26/99","Norton, Lynette","USDC: Western District of Pennsylvania","Clinton",106,"WQm/Qmin"
"1/26/99","Paez, Richard A. (CA)","Ninth Circuit","Clinton",106,"WQsm/Qmin"
"1/26/99","Phillips, Virginia A.","USDC: Central District of California","Clinton",106,"WQm/Qmin"
"1/26/99","Underhill, Stefan R.","USDC: District of Connecticut","Clinton",106,"WQsm/Qmin"
"1/26/99","Ward, T. John","USDC: Eastern District of Texas","Clinton",106,"WQm/Qmin"
"1/26/99","White, Helene N. (MI)","Sixth Circuit","Clinton",106,"Qsm/NQmin"
"1/26/99","White, Ronnie L.","USDC: Eastern District of Missouri","Clinton",106,"Q"
"1/27/92","Carnes, Ed","Eleventh Circuit","H.W. Bush",102,"Q"
"1/27/92","Carr, Kenneth R.","USDC: Western District of Texas","H.W. Bush",102,"Qsm/NQmin"
"1/27/92","Fitzwater, Sidney A.","Fifth Circuit","H.W. Bush",102,"Qsm/WQmin"
"1/27/92","Jackson, James W.","USDC: Northern District of Ohio","H.W. Bush",102,"WQ"
"1/27/92","Roberts, John G.","DC Circuit","H.W. Bush",102,"Q"
"1/27/92","Smietanka, John A.","Sixth Circuit","H.W. Bush",102,"Qm/NQmin"
"1/27/92","Smith, Terral R.","USDC: Western District of Texas","H.W. Bush",102,"WQsm/Qmin"
"1/27/92","Williams, Karen J.","Fourth Circuit","H.W. Bush",102,"Qsm/WQmin"
"1/27/94","Batts, Deborah A.","USDC: Southern District of New York","Clinton",103,"Q"
"1/27/94","Benavides, Fortunato P. (TX)","Fifth Circuit","Clinton",103,"Qsm/WQmin"
"1/27/94","Carr, James G.","USDC: Northern District of Ohio","Clinton",103,"WQ"
"1/27/94","Castillo, Ruben","USDC: Northern District of Illinois","Clinton",103,"WQ"
"1/27/94","Collins, Audrey B.","USDC: Central District of California","Clinton",103,"Qm/NQmin"
"1/27/94","Currie, Cameron M.","USDC: District of South Carolina","Clinton",103,"WQ"
"1/27/94","Lisi, Mary M.","USDC: District of Rhode Island","Clinton",103,"Qm/NQmin"
"1/27/94","Motz, Diana  (MD)","Fourth Circuit","Clinton",103,"WQ"
"1/27/94","Parker, Robert M. (TX)","Fifth Circuit","Clinton",103,"WQsm/Qmin"
"1/27/94","Stewart, Carl  (LA)","Fifth Circuit","Clinton",103,"Qsm/WQmin"
"1/27/98","Barzilay, Judith  (NJ)","Court of International Trade","Clinton",105,"Q"
"1/27/98","Berzon, Marsha S.  (CA)","Ninth Circuit","Clinton",105,"WQsm/Qmin"
"1/27/98","Dimitrouleas,. William P.","USDC: Southern District of Florida","Clinton",105,"WQsm/Qmin"
"1/27/98","James, Robert G.","USDC: Western District of Louisiana","Clinton",105,"Q"
"1/27/98","Kelly, John David  (ND)","Eighth Circuit","Clinton",105,"Q"
"1/27/98","Klein, James W.","USDC: District of the District of Columbia","Clinton",105,"Qsm/NQmin"
"1/27/98","Mickle, Stephan P.","USDC: Northern District of Florida","Clinton",105,"Qsm/NQmin"
"1/27/98","Rawlinson, Johnnie B.","USDC: District of Nevada","Clinton",105,"Q"
"1/27/98","Ridgway, Delissa Ann  (DC)","Court of International Trade","Clinton",105,"WQsm/Qmin"
"1/27/98","Roberts, Richard W.","USDC: District of the District of Columbia","Clinton",105,"Q"
"1/27/98","Sleet, Gregory M.","USDC: District of Delaware","Clinton",105,"WQ/Qsm/NQmin"
"1/27/98","Wardlaw, Kim McLane (CA)","Ninth Circuit","Clinton",105,"Q"
"1/28/2016","Campbell, Terrence J.","USDC: District of Kansas","Obama",114,"WQm/Qmin"
"1/28/2016","Puhl, Jennifer Klemetsrud","Eighth Circuit","Obama",114,"Qm/NQmin"
"1/29/03","Bennett, Richard D.","USDC: District of Maryland","W. Bush",108,"WQ"
"1/29/03","Flanagan, Louise W.","USDC: Eastern District of North Carolina","W. Bush",108,"Q"
"1/29/03","Holmes, J. Leon","USDC: Eastern District of Arkansas","W. Bush",108,"WQsm/Qmin"
"1/29/03","Selna, James V.","USDC: Central District of California","W. Bush",108,"WQsm/"
"1/29/03","Simon, Philip P.","USDC: Northern District of Indiana","W. Bush",108,"WQsm/Qmin"
"1/29/03","Springmann, Theresa Lazar","USDC: Northern District of Indiana","W. Bush",108,"WQ"
"1/3/13","Bacharach, Robert E. (OK)","Tenth Circuit","Obama",113,"WQ"
"1/3/13","Barnett, Mark A.","US Court of International Trade","Obama",113,"WQm/Qmin"
"1/3/13","Cadish, Elissa F.","USDC: District of Nevada","Obama",113,"Q"
"1/3/13","Caproni, Valerie E.","USDC: Southern District of New York","Obama",113,"WQ"
"1/3/13","Chappell, Sheri P.","USDC: Middle District of Florida","Obama",113,"Q"
"1/3/13","Chen, Pamela K.","USDC: Eastern District of New York","Obama",113,"Q"
"1/3/13","Davis, Brian J.","USDC: Middle District of Florida","Obama",113,"WQ"
"1/3/13","Dick, Shelly D.","USDC: Middle District of Louisiana","Obama",113,"Qsm/WQmin"
"1/3/13","Dorsey, Jennifer A.","USDC: District of Nevada","Obama",113,"Qsm/NQmin"
"1/3/13","Failla, Katherine P.","USDC: Southern District of New York","Obama",113,"WQm/Qmin"
"1/3/13","Gonzales, Kenneth J.","USDC: District of New Mexico","Obama",113,"Q"
"1/3/13","Gordon, Andrew Patrick","USDC: District of Nevada","Obama",113,"WQsm/Qmin"
"1/3/13","Halligan, Caitlin Joan (NY)","DC Circuit","Obama",113,"WQ"
"1/3/13","Jackson, Ketanji B.","USDC: District of Columbia","Obama",113,"Q"
"1/3/13","Kayatta, William J., Jr. (ME)","First Circuit","Obama",113,"WQ"
"1/3/13","Kelly, Claire R.","US Court of International Trade","Obama",113,"WQ"
"1/3/13","McShane, Michael J.","USDC: District of Oregon","Obama",113,"Qm/WQmin"
"1/3/13","Moore, Raymond P.","USDC: District of Colorado","Obama",113,"WQ"
"1/3/13","Nunley, Troy L.","USDC: Eastern District of California","Obama",113,"Qm/WQmin"
"1/3/13","O’Connell, Beverly R.","USDC: Central District of California","Obama",113,"WQ"
"1/3/13","Orrick, William H. III","USDC: Northern District of California","Obama",113,"WQ"
"1/3/13","Quiñones Alejandro, Nitza","USDC: Eastern District of Pennsylvania","Obama",113,"Qsm/NQmin"
"1/3/13","Restrepo, Luis F.","USDC: Eastern District of Pennsylvania","Obama",113,"WQ"
"1/3/13","Roman, Nelson S.","USDC: Southern District of New York","Obama",113,"WQsm/Qmin"
"1/3/13","Schmehl, Jeffrey L.","USDC: Eastern District of Pennsylvania","Obama",113,"WQm/Qmin"
"1/3/13","Shwartz, Patty (NJ)","Third Circuit","Obama",113,"WQ"
"1/3/13","Srinivasan, Srikanth (VA)","DC Circuit","Obama",113,"WQ"
"1/3/13","Taranto, Richard G. (MD)","Federal Circuit","Obama",113,"WQ"
"1/3/13","Thomas, William L.","USDC: Southern District of Florida","Obama",113,"WQm/Qmin"
"1/3/13","Torres, Analisa N.","USDC: Southern District of New York","Obama",113,"Q"
"1/3/13","Watson, Derrick K.","USDC: District of Hawaii","Obama",113,"WQsm/Qmin"
"1/31/13","Kelly, Jane (IA)","Eighth Circuit","Obama",113,"Q"
"1/31/13","Phillips, Gregory A. (WY)","Tenth Circuit","Obama",113,"WQ"
"1/31/95","Dennis, James L. (LA)","Fifth Circuit","Clinton",104,"Q"
"1/5/11","Allen, Arenda Lauretta Wright","USDC: Eastern District of Virginia","Obama",112,"Qsm/WQmin"
"1/5/11","Battaglia, Anthony Joseph","USDC: Southern District of California","Obama",112,"WQ"
"1/5/11","Bissoon, Cathy","USDC: Western District of Pennsylvania","Obama",112,"Q"
"1/5/11","Boasberg, James Emanuel","USDC: District of District of Columbia","Obama",112,"WQ"
"1/5/11","Briccetti, Vincent L.","USDC: Southern District of New York","Obama",112,"WQ"
"1/5/11","Butler, Louis Bennett Jr.","USDC: Western District of Wisconsin","Obama",112,"WQ"
"1/5/11","Carney, Susan Laura (CT)","Second Circuit","Obama",112,"Qsm/NQmin"
"1/5/11","Cecchi, Claire","USDC: District of New Jersey","Obama",112,"Qm/WQmin"
"1/5/11","Chen, Edward Milton","USDC: Northern District of California","Obama",112,"WQ"
"1/5/11","Cogburn, Max Oliver Jr.","USDC: Western District of North Carolina","Obama",112,"WQm/Qmin"
"1/5/11","D'Agostino, Mae Avila","USDC: Northern District of New York","Obama",112,"WQ"
"1/5/11","Dalton, Roy Bale Jr.","USDC: Middle District of Florida","Obama",112,"WQsm/Qmin"
"1/5/11","Darrow, Sara Lynn","USDC: Central District of Illinois","Obama",112,"Q"
"1/5/11","Davila, Edward John","USDC: Northern District of California","Obama",112,"Qsm/NQmin"
"1/5/11","Day, Charles Bernard","USDC: District of Maryland","Obama",112,"WQ"
"1/5/11","Donald, Bernice Bouie (TN)","Sixth Circuit","Obama",112,"WQsm/Qmin"
"1/5/11","DuMont, Edward Carroll (DC)","Federal Circuit","Obama",112,"WQ"
"1/5/11","Graves,  James Earl Jr. (MS)","Fifth Circuit","Obama",112,"Q"
"1/5/11","Halligan, Caitlin Joan (NY)","DC Circuit","Obama",112,"WQ"
"1/5/11","Hernandez, Marco Antonio","USDC: District of Oregon","Obama",112,"Q"
"1/5/11","Holmes, Paul K. III","USDC: Western District of Arkansas","Obama",112,"WQ"
"1/5/11","Hornak, Mark Raymond","USDC: Western District of Pennsylvania","Obama",112,"WQ"
"1/5/11","Jackson, Amy Berman","USDC: District of District of Columbia","Obama",112,"WQ"
"1/5/11","Jackson, Richard Brooke","USDC: District of Colorado","Obama",112,"WQ"
"1/5/11","Jones, Steve C.","USDC: Northern District of Georgia","Obama",112,"WQ"
"1/5/11","Kronstadt, John A.","USDC: Central District of California","Obama",112,"Qsm/WQmin"
"1/5/11","Liu, Goodwin (CA)","Ninth Circuit","Obama",112,"WQ"
"1/5/11","Mariani, Robert David","USDC: Middle District of Pennsylvania","Obama",112,"WQ"
"1/5/11","Marmolejo, Marina Garcia","USDC: Southern District of Texas","Obama",112,"Q"
"1/5/11","McConnell,  John J. Jr.","USDC: District of Rhode Island","Obama",112,"Qsm/NQmin"
"1/5/11","Myerscough, Sue Ellen","USDC: Central District of Illinois","Obama",112,"Q"
"1/5/11","Nourse, Victoria Frances (WI)","Seventh Circuit","Obama",112,"WQ"
"1/5/11","Reyna, Jimmie V. (MD)","Federal Circuit","Obama",112,"WQ"
"1/5/11","Ross, John Andrew","USDC: Eastern District of Missouri","Obama",112,"WQ"
"1/5/11","Salas, Esther","USDC: District of New Jersey","Obama",112,"WQ"
"1/5/11","Saldaña, Diana","USDC: Southern District of Texas","Obama",112,"WQ"
"1/5/11","Shadid, James E.","USDC: Central District of Illinois","Obama",112,"Qsm/WQmin"
"1/5/11","Sharp, Kevin Hunter","USDC: Middle District of Tennessee","Obama",112,"Q"
"1/5/11","Simon, Michael Howard","USDC: District of Oregon","Obama",112,"WQm/Qmin"
"1/5/11","Totenberg, Amy Mil","USDC: Northern District of Georgia","Obama",112,"WQ"
"1/5/11","Urbanski, Michael Francis","USDC:  Western District of Virginia","Obama",112,"WQ"
"1/5/11","Williams, Kathleen Mary","USDC: Southern District of Florida","Obama",112,"WQsm/Qmin"
"1/6/2014","Barron, Jeremiah D.","First Circuit","Obama",113,"WQsm/Qmin"
"1/6/2014","Bashant, Cynthia A.","USDC: Southern District of California","Obama",113,"Q"
"1/6/2014","Bastian, Stanley A.","USDC: Eastern District of Washington","Obama",113,"WQ"
"1/6/2014","Boggs, Michael P.","USDC: Northern District of Georgia","Obama",113,"WQsm/Qmin"
"1/6/2014","Brooks, Timothy L.","USDC: Western District of Arkansas","Obama",113,"WQ"
"1/6/2014","Carnes, Julie E. (GA)","Eleventh Circuit","Obama",113,"WQ"
"1/6/2014","Chhabria, Vince G.","USDC: Northern District of California","Obama",113,"WQ"
"1/6/2014","Chuang, Theodore D.","USDC: District of Maryland","Obama",113,"WQsm/Qmin"
"1/6/2014","Chutkan, Tanya S.","USDC: District of Columbia","Obama",113,"Q"
"1/6/2014","Cohen, Mark Howard","USDC: Northern District of Georgia","Obama",113,"Qm/WQmin"
"1/6/2014","Cooper, Christopher R.","USDC: District of Columbia","Obama",113,"WQm/Qmin"
"1/6/2014","Costa, Gregg Jeffrey (TX)","Fifth Circuit","Obama",113,"WQ"
"1/6/2014","Crabtree, Daniel D.","USDC: District of Kansas","Obama",113,"WQ"
"1/6/2014","Delgado Hernandez, Pedro A.","USDC: District of Puerto Rico","Obama",113,"WQ"
"1/6/2014","Donato, James J.","USDC: Northern District of California","Obama",113,"WQsm/Qmin"
"1/6/2014","Freeman, Beth L.","USDC: Northern District of California","Obama",113,"Q"
"1/6/2014","Friedland, Michelle T. (CA)","Ninth Circuit","Obama",113,"WQ"
"1/6/2014","Harpool, M. Douglas","USDC: Western District of Missouri","Obama",113,"WQ"
"1/6/2014","Hazel, George J.","USDC: District of Maryland","Obama",113,"Qsm/WQmin"
"1/6/2014","Hendricks, Bruce H.","USDC: District of South Carolina","Obama",113,"WQ"
"1/6/2014","Humetewa, Diane J.","USDC: District of Arizona","Obama",113,"Qsm/WQmin"
"1/6/2014","Lauck, M. Hannah","USDC: Eastern District of Virginia","Obama",113,"WQ"
"1/6/2014","Lee, Alison R.","USDC: District of South Carolina","Obama",113,"WQm/Qmin"
"1/6/2014","Leitman, Matthew F.","USDC: Eastern District of Michigan","Obama",113,"WQ"
"1/6/2014","Levy, Jon D.","USDC: District of Maine","Obama",113,"WQsm/Qmin"
"1/6/2014","Levy, Judith E.","USDC: Eastern District of Michigan","Obama",113,"Q"
"1/6/2014","Lipman, Sheryl H.","USDC: Western District of Tennessee","Obama",113,"WQm/Qmin"
"1/6/2014","Logan, Steven P.","USDC: District of Arizona","Obama",113,"WQ"
"1/6/2014","Márquez, Rosemary","USDC: District of Arizona","Obama",113,"Q"
"1/6/2014","Mastroianni, Mark G.","USDC : District of Massachusetts","Obama",113,"WQsm/Qmin"
"1/6/2014","May-Parker, Jennifer P.","USDC: Eastern District of North Carolina","Obama",113,"Q"
"1/6/2014","May, Leigh Martin","USDC: Northern District of Georgia","Obama",113,"Q"
"1/6/2014","McHugh, Carolyn B. (UT)","Tenth Circuit","Obama",113,"WQ"
"1/6/2014","McHugh, Gerald A., Jr.","USDC: Eastern District of Pennsylvania","Obama",113,"WQ"
"1/6/2014","Meyer, Jeffrey A.","USDC: District of Connecticut","Obama",113,"WQ"
"1/6/2014","Michelson, Laurie J.","USDC: Eastern District of Michigan","Obama",113,"WQ"
"1/6/2014","Moody, James M., Jr.","USDC: Eastern District of Arkansas","Obama",113,"WQ"
"1/6/2014","Moritz, Nancy L. (KS)","Tenth Circuit","Obama",113,"Q"
"1/6/2014","Owens, John B. (CA)","Ninth Circuit","Obama",113,"WQ"
"1/6/2014","Parker, Linda V.","USDC: Eastern District of Michigan","Obama",113,"Qsm/NQmin"
"1/6/2014","Peterson, James D.","USDC: Western District of Wisconsin","Obama",113,"WQ"
"1/6/2014","Pryor, Jill A. (GA)","Eleventh Circuit","Obama",113,"WQ"
"1/6/2014","Rayes, Douglas L.","USDC: District of Arizona","Obama",113,"WQ"
"1/6/2014","Reeves, Pamela L.","USDC: Eastern District of Tennessee","Obama",113,"WQ"
"1/6/2014","Rosenbaum, Robin S. (FL)","Eleventh Circuit","Obama",113,"WQ"
"1/6/2014","Rosenstengel, Nancy J.","USDC: Southern District of Illinois","Obama",113,"Q"
"1/6/2014","Ross, Eleanor Louise","USDC: Northern District of Georgia","Obama",113,"Qm/NQmin"
"1/6/2014","Shah, Manish S.","USDC: Northern District of Illinois","Obama",113,"WQsm/Qmin"
"1/6/2014","Smith, Edward G.","USDC: Eastern District of Pennsylvania","Obama",113,"WQ"
"1/6/2014","Sorokin, Leo T.","USDC: District of Massachusetts","Obama",113,"WQ"
"1/6/2014","Soto, James Alan","USDC: District of Arizona","Obama",113,"Q"
"1/6/2014","Talwani, Indira","USDC: District of Massachusetts","Obama",113,"Q"
"1/6/2014","Tuchi, John J.","USDC: District of Arizona","Obama",113,"WQsm/Qmin"
"1/6/2014","White, Ronnie L.","USDC: Eastern District of Missouri","Obama",113,"Q"
"1/7/03","Adams, John R.","USDC: Northern District of Ohio","W. Bush",108,"Q"
"1/7/03","Boyle, Terrence W. (NC)","Fourth Circuit","W. Bush",108,"Q"
"1/7/03","Breen, J. Daniel","USDC: Western District of Tennessee","W. Bush",108,"WQ"
"1/7/03","Bybee, Jay S. (NV)","Ninth Circuit","W. Bush",108,"WQsm/Qmin"
"1/7/03","Carney, J. Cormac","USDC: Central District of California","W. Bush",108,"Qsm"
"1/7/03","Cook, Deborah L. (OH)","Sixth Circuit","W. Bush",108,"Q"
"1/7/03","Dever, James C. III","USDC: Eastern District of North Carolina","W. Bush",108,"Q"
"1/7/03","Erickson, Ralph R.","USDC: District of North Dakota","W. Bush",108,"Qsm/NQmin"
