"Judgenum","judge","nomination_date","confirmation_date","confirmation_vote","appointed_by","pres_start_date","start_active_date","end_active_date","end_senior_date","court","court_type","months_from_inauguration"
58,"Briccetti, Vincent L.",2011-01-05,2011-04-12,"unanimous consent","Barack Obama",2009-01-01,2011-04-14,2018-02-23,4712-12-31,"S.D.N.Y.","District",27
59,"Kronstadt, John A.",2011-01-05,2011-04-12,"96–0","Barack Obama",2009-01-01,2011-04-14,2018-02-23,4712-12-31,"C.D. Cal.","District",27
60,"Dalton, Jr., Roy B.",2011-01-05,2011-05-02,"unanimous consent","Barack Obama",2009-01-01,2011-05-03,2018-02-23,4712-12-31,"M.D. Fla.","District",28
61,"Sharp, Kevin H.",2011-01-05,2011-05-02,"89–0","Barack Obama",2009-01-01,2011-05-03,2017-04-15,NA,"M.D. Tenn.","District",28
62,"McConnell, Jr., John J.",2011-01-05,2011-05-04,"50–44","Barack Obama",2009-01-01,2011-05-06,2018-02-23,4712-12-31,"D.R.I.","District",28
63,"Chen, Edward M.",2011-01-05,2011-05-10,"56–42","Barack Obama",2009-01-01,2011-05-12,2018-02-23,4712-12-31,"N.D. Cal.","District",28
64,"Allen, Arenda L. Wright",2011-01-05,2011-05-11,"96–0","Barack Obama",2009-01-01,2011-05-12,2018-02-23,4712-12-31,"E.D. Va.","District",28
65,"Urbanski, Michael F.",2011-01-05,2011-05-12,"94–0","Barack Obama",2009-01-01,2011-05-13,2018-02-23,4712-12-31,"W.D. Va.","District",28
66,"Cecchi, Claire C.",2011-01-05,2011-06-14,"98–0","Barack Obama",2009-01-01,2011-06-14,2018-02-23,4712-12-31,"D.N.J.","District",29
67,"Salas, Esther",2011-01-05,2011-06-14,"voice vote","Barack Obama",2009-01-01,2011-06-14,2018-02-23,4712-12-31,"D.N.J.","District",29
68,"Simon, Michael H.",2011-01-05,2011-06-21,"64–35","Barack Obama",2009-01-01,2011-06-22,2018-02-23,4712-12-31,"D. Ore.","District",29
69,"Oetken, J. Paul",2011-01-26,2011-07-18,"80–13","Barack Obama",2009-01-01,2011-07-20,2018-02-23,4712-12-31,"S.D.N.Y.","District",30
70,"Engelmayer, Paul A.",2011-02-02,2011-07-26,"98–0","Barack Obama",2009-01-01,2011-07-27,2018-02-23,4712-12-31,"S.D.N.Y.","District",30
71,"Darrow, Sara Lynn",2011-01-05,2011-08-02,"unanimous consent","Barack Obama",2009-01-01,2011-08-03,2018-02-23,4712-12-31,"C.D. Ill.","District",31
72,"Jackson, R. Brooke",2011-01-05,2011-08-02,"unanimous consent","Barack Obama",2009-01-01,2011-09-01,2018-02-23,4712-12-31,"D. Colo.","District",32
73,"Williams, Kathleen M.",2011-01-05,2011-08-02,"unanimous consent","Barack Obama",2009-01-01,2011-08-04,2018-02-23,4712-12-31,"S.D. Fla.","District",31
74,"Ramos, Nelva Gonzales",2011-01-26,2011-08-02,"unanimous consent","Barack Obama",2009-01-01,2011-08-04,2018-02-23,4712-12-31,"S.D. Tex.","District",31
75,"Ross, John Andrew",2011-01-05,2011-09-20,"unanimous consent","Barack Obama",2009-01-01,2011-10-11,2018-02-23,4712-12-31,"E.D. Mo.","District",33
76,"Cain, Timothy M.",2011-02-16,2011-09-20,"99–0","Barack Obama",2009-01-01,2011-09-26,2018-02-23,4712-12-31,"D.S.C.","District",32
77,"Brown, Nannette Jolivette",2011-03-02,2011-10-03,"unanimous consent","Barack Obama",2009-01-01,2011-10-04,2018-02-23,4712-12-31,"E.D. La.","District",33
78,"Torresen, Nancy",2011-03-02,2011-10-03,"unanimous consent","Barack Obama",2009-01-01,2011-10-04,2018-02-23,4712-12-31,"D. Me.","District",33
79,"Kuntz, William Francis",2011-03-09,2011-10-03,"unanimous consent","Barack Obama",2009-01-01,2011-10-04,2018-02-23,4712-12-31,"E.D.N.Y.","District",33
80,"Marmolejo, Marina",2011-01-05,2011-10-03,"unanimous consent","Barack Obama",2009-01-01,2011-10-04,2018-02-23,4712-12-31,"S.D. Tex.","District",33
81,"Zipps, Jennifer Guerin",2011-06-23,2011-10-03,"unanimous consent","Barack Obama",2009-01-01,2011-10-05,2018-02-23,4712-12-31,"D. Ariz.","District",33
82,"Milazzo, Jane Margaret Triche",2011-03-16,2011-10-11,"98–0","Barack Obama",2009-01-01,2011-10-12,2018-02-23,4712-12-31,"E.D. La.","District",33
83,"Nathan, Alison J.",2011-03-31,2011-10-13,"48–44","Barack Obama",2009-01-01,2011-10-17,2018-02-23,4712-12-31,"S.D.N.Y.","District",33
84,"Hickey, Susan Owens",2011-04-06,2011-10-13,"83–8","Barack Obama",2009-01-01,2011-10-19,2018-02-23,4712-12-31,"W.D. Ark.","District",33
85,"Forrest, Katherine B.",2011-05-04,2011-10-13,"voice vote","Barack Obama",2009-01-01,2011-10-17,2018-02-23,4712-12-31,"S.D.N.Y.","District",33
86,"Bissoon, Cathy",2011-01-05,2011-10-17,"82–3","Barack Obama",2009-01-01,2011-10-19,2018-02-23,4712-12-31,"W.D. Pa.","District",33
87,"Hornak, Mark R.",2011-01-05,2011-10-19,"voice vote","Barack Obama",2009-01-01,2011-10-19,2018-02-23,4712-12-31,"W.D. Pa.","District",33
88,"Scola, Jr., Robert N.",2011-05-04,2011-10-19,"voice vote","Barack Obama",2009-01-01,2011-10-20,2018-02-23,4712-12-31,"S.D. Fla.","District",33
89,"Mariani, Robert D.",2011-01-05,2011-10-19,"82–17","Barack Obama",2009-01-01,2011-10-19,2018-02-23,4712-12-31,"M.D. Pa.","District",33
90,"Andrews, Richard G.",2011-05-11,2011-11-03,"unanimous consent","Barack Obama",2009-01-01,2011-11-07,2018-02-23,4712-12-31,"D. Del.","District",34
91,"Skavdahl, Scott W.",2011-02-16,2011-11-03,"96–0","Barack Obama",2009-01-01,2011-11-07,2018-02-23,4712-12-31,"D. Wyo.","District",34
92,"Gleason, Sharon L.",2011-04-06,2011-11-15,"87–8","Barack Obama",2009-01-01,2012-01-04,2018-02-23,4712-12-31,"D. Alaska","District",36
93,"Rogers, Yvonne Gonzalez",2011-05-04,2011-11-15,"89–6","Barack Obama",2009-01-01,2011-11-21,2018-02-23,4712-12-31,"N.D. Cal.","District",34
94,"Ramos, Edgardo",2011-05-04,2011-12-05,"89–0","Barack Obama",2009-01-01,2011-12-06,2018-02-23,4712-12-31,"S.D.N.Y.","District",35
95,"Carter, Jr., Andrew L.",2011-05-19,2011-12-05,"voice vote","Barack Obama",2009-01-01,2011-12-08,2018-02-23,4712-12-31,"S.D.N.Y.","District",35
96,"Gilstrap, James Rodney",2011-05-19,2011-12-05,"voice vote","Barack Obama",2009-01-01,2011-12-06,2018-02-23,4712-12-31,"E.D. Tex.","District",35
97,"Christensen, Dana L.",2011-05-04,2011-12-05,"voice vote","Barack Obama",2009-01-01,2011-12-06,2018-02-23,4712-12-31,"D. Mont.","District",35
98,"Gerrard, John M.",2011-05-04,2012-01-23,"74–16","Barack Obama",2009-01-01,2012-02-06,2018-02-23,4712-12-31,"D. Neb.","District",37
99,"Bencivengo, Cathy Ann",2011-05-11,2012-02-09,"90–6","Barack Obama",2009-01-01,2012-02-10,2018-02-23,4712-12-31,"S.D. Cal.","District",37
100,"Furman, Jesse M.",2011-06-07,2012-02-17,"62–34","Barack Obama",2009-01-01,2012-02-17,2018-02-23,4712-12-31,"S.D.N.Y.","District",37
101,"Brodie, Margo Kitsy",2011-06-07,2012-02-27,"86–2","Barack Obama",2009-01-01,2012-02-29,2018-02-23,4712-12-31,"E.D.N.Y.","District",37
102,"Phillips, Mary Elizabeth",2011-06-07,2012-03-06,"95–2","Barack Obama",2009-01-01,2012-03-22,2018-02-23,4712-12-31,"W.D. Mo.","District",38
103,"Rice, Thomas O.",2011-06-29,2012-03-06,"93–4","Barack Obama",2009-01-01,2012-03-08,2018-02-23,4712-12-31,"E.D. Wash.","District",38
104,"Groh, Gina Marie",2011-05-19,2012-03-15,"95–2","Barack Obama",2009-01-01,2012-03-20,2018-02-23,4712-12-31,"N.D.W.Va.","District",38
105,"Fitzgerald, Michael W.",2011-07-20,2012-03-15,"91–6","Barack Obama",2009-01-01,2012-03-15,2018-02-23,4712-12-31,"C.D. Cal.","District",38
106,"Nuffer, David",2011-06-29,2012-03-22,"96–2","Barack Obama",2009-01-01,2012-03-23,2018-02-23,4712-12-31,"D. Utah","District",38
107,"Abrams, Ronnie",2011-07-28,2012-03-22,"96–2","Barack Obama",2009-01-01,2012-03-23,2018-02-23,4712-12-31,"S.D.N.Y.","District",38
108,"Contreras, Rudolph",2011-07-28,2012-03-22,"voice vote","Barack Obama",2009-01-01,2012-03-23,2018-02-23,4712-12-31,"D.D.C.","District",38
109,"Du, Miranda",2011-08-02,2012-03-28,"59–39","Barack Obama",2009-01-01,2012-03-30,2018-02-23,4712-12-31,"D. Nev.","District",38
110,"Morgan, Susie",2011-06-07,2012-03-28,"96–1","Barack Obama",2009-01-01,2012-03-30,2018-02-23,4712-12-31,"E.D. La.","District",38
111,"Wimes, Brian C.",2011-09-22,2012-04-23,"92–1","Barack Obama",2009-01-01,2012-04-30,2018-02-23,4712-12-31,"E.D. Mo.W.D. Mo.","District",39
112,"Costa, Gregg",2011-09-08,2012-04-26,"97–2","Barack Obama",2009-01-01,2012-04-26,2014-06-02,NA,"S.D. Tex","District",39
113,"Guaderrama, David Campos",2011-09-14,2012-04-26,"voice vote","Barack Obama",2009-01-01,2012-04-30,2018-02-23,4712-12-31,"W.D. Tex.","District",39
114,"Baker, Kristine G.",2011-11-02,2012-05-07,"voice vote","Barack Obama",2009-01-01,2012-05-08,2018-02-23,4712-12-31,"E.D. Ark.","District",40
115,"Lee, John Z.",2011-11-10,2012-05-07,"voice vote","Barack Obama",2009-01-01,2012-05-08,2018-02-23,4712-12-31,"N.D. Ill.","District",40
116,"Russell III, George Levi",2011-11-10,2012-05-14,"voice vote","Barack Obama",2009-01-01,2012-05-22,2018-02-23,4712-12-31,"D. Md.","District",40
117,"Tharp, Jr., John J.",2011-11-10,2012-05-14,"86–1","Barack Obama",2009-01-01,2012-05-16,2018-02-23,4712-12-31,"N.D. Ill.","District",40
118,"Hillman, Timothy S.",2011-11-30,2012-06-04,"88–1","Barack Obama",2009-01-01,2012-06-06,2018-02-23,4712-12-31,"D. Mass.","District",41
119,"Helmick, Jeffrey J.",2011-05-11,2012-06-06,"62–36","Barack Obama",2009-01-01,2012-06-07,2018-02-23,4712-12-31,"N.D. Ohio","District",41
120,"Lewis, Mary Geiger",2011-03-16,2012-06-18,"64–27","Barack Obama",2009-01-01,2012-06-20,2018-02-23,4712-12-31,"D.S.C.","District",41
121,"Rosenbaum, Robin S.",2011-11-30,2012-06-26,"92–3","Barack Obama",2009-01-01,2012-06-27,2014-06-02,NA,"S.D. Fla.","District",41
122,"Fowlkes, Jr., John Thomas",2011-12-16,2012-07-10,"94–2","Barack Obama",2009-01-01,2012-08-01,2018-02-23,4712-12-31,"W.D. Tenn.","District",43
123,"McNulty, Kevin",2011-12-16,2012-07-16,"91–3","Barack Obama",2009-01-01,2012-07-18,2018-02-23,4712-12-31,"D.N.J.","District",42
124,"Shipp, Michael A.",2012-01-23,2012-07-23,"91–1","Barack Obama",2009-01-01,2012-07-26,2018-02-23,4712-12-31,"D.N.J.","District",42
125,"Drain, Gershwin A.",2011-11-17,2012-08-02,"55–41","Barack Obama",2009-01-01,2012-08-08,2018-02-23,4712-12-31,"E.D. Mich.","District",43
126,"Rose, Stephanie Marie",2012-02-02,2012-09-10,"89–1","Barack Obama",2009-01-01,2012-09-17,2018-02-23,4712-12-31,"S.D. Iowa","District",44
127,"Curiel, Gonzalo P.",2011-11-10,2012-09-21,"voice vote","Barack Obama",2009-01-01,2012-10-01,2018-02-23,4712-12-31,"S.D. Cal.","District",45
